arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,32745,5,697,10000,2048,True,False,True,True,True,True,True,64,549.9017
gfx950,torch.bfloat16,128,128,64,32,16,32741,4,7952,10000,4789,True,False,True,True,True,True,True,64,547.4761
gfx950,torch.bfloat16,128,128,64,32,16,15211,2,5211,0,10000,True,False,True,True,True,True,True,32,420.6673
gfx950,torch.bfloat16,128,128,64,32,16,32755,5,1717,10000,1038,True,False,True,True,True,True,True,64,550.4441
gfx950,torch.bfloat16,128,128,64,32,16,32751,4,8962,10000,3789,True,False,True,True,True,True,True,64,550.6377
gfx950,torch.bfloat16,128,128,64,32,16,32748,4,6211,10000,6537,True,False,True,True,True,True,True,64,546.7713
gfx950,torch.bfloat16,128,128,64,32,16,32745,4,3463,10000,9282,True,False,True,True,True,True,True,64,549.0625
gfx950,torch.bfloat16,128,128,64,32,16,32742,5,718,10000,2024,True,False,True,True,True,True,True,64,550.2745
gfx950,torch.bfloat16,128,128,64,32,16,17976,2,7976,0,10000,True,False,True,True,True,True,True,32,436.6371
gfx950,torch.bfloat16,128,128,64,32,16,32762,4,10000,10000,2762,True,False,True,True,True,True,True,64,549.2281
gfx950,torch.bfloat16,128,128,64,32,16,32759,4,7238,10000,5521,True,False,True,True,True,True,True,64,547.6968
gfx950,torch.bfloat16,128,128,64,32,16,32756,4,4479,10000,8277,True,False,True,True,True,True,True,64,546.8409
gfx950,torch.bfloat16,128,128,64,32,16,32753,5,1723,10000,1030,True,False,True,True,True,True,True,64,550.5321
gfx950,torch.bfloat16,128,128,64,32,16,32749,4,8970,10000,3779,True,False,True,True,True,True,True,64,550.8570
gfx950,torch.bfloat16,128,128,64,32,16,32746,4,6221,10000,6525,True,False,True,True,True,True,True,64,547.1976
gfx950,torch.bfloat16,128,128,64,32,16,32743,4,3475,10000,9268,True,False,True,True,True,True,True,64,548.6512
gfx950,torch.bfloat16,128,128,64,32,16,30732,4,732,10000,10000,True,False,True,True,True,True,True,64,544.8369
gfx950,torch.bfloat16,128,128,64,32,16,32761,4,10000,10000,2761,True,False,True,True,True,True,True,64,549.5521
gfx950,torch.bfloat16,128,128,64,32,16,32758,4,7239,10000,5519,True,False,True,True,True,True,True,64,547.7696
gfx950,torch.bfloat16,128,128,64,32,16,32755,4,4481,10000,8274,True,False,True,True,True,True,True,64,547.5289
gfx950,torch.bfloat16,128,128,64,32,16,32752,5,1726,10000,1026,True,False,True,True,True,True,True,64,550.9777
gfx950,torch.bfloat16,128,128,64,32,16,32748,4,8974,10000,3774,True,False,True,True,True,True,True,64,549.8449
gfx950,torch.bfloat16,128,128,64,32,16,32745,4,6226,10000,6519,True,False,True,True,True,True,True,64,547.5280
gfx950,torch.bfloat16,128,128,64,32,16,32742,4,3481,10000,9261,True,False,True,True,True,True,True,64,549.0881
gfx950,torch.bfloat16,128,128,64,32,16,20739,3,739,10000,10000,True,False,True,True,True,True,True,32,463.4966
gfx950,torch.bfloat16,128,128,64,32,16,32750,5,1735,10000,1015,True,False,True,True,True,True,True,64,551.0961
gfx950,torch.bfloat16,128,128,64,32,16,32748,4,8985,10000,3763,True,False,True,True,True,True,True,64,549.8953
gfx950,torch.bfloat16,128,128,64,32,16,32745,4,6237,10000,6508,True,False,True,True,True,True,True,64,547.1905
gfx950,torch.bfloat16,128,128,64,32,16,13492,2,3492,0,10000,True,False,True,True,True,True,True,16,408.9368
