arch,dtype,K,V,BT,H,Hg,T_flat,N,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,27016,43,True,False,True,True,True,True,True,64,366.1943
gfx950,torch.bfloat16,128,128,64,32,16,1055,56,True,False,True,True,True,True,True,32,113.2306
gfx950,torch.bfloat16,128,128,64,32,16,8056,64,True,False,True,True,True,True,True,64,163.5444
gfx950,torch.bfloat16,128,128,64,32,16,4016,20,True,False,True,True,True,True,True,64,87.4490
gfx950,torch.bfloat16,128,128,64,32,16,32020,52,True,False,True,True,True,True,True,64,388.0482
gfx950,torch.bfloat16,128,128,64,32,16,12052,64,True,False,True,True,True,True,True,64,225.7348
gfx950,torch.bfloat16,128,128,64,32,16,18964,16,True,False,True,True,True,True,True,32,463.5611
gfx950,torch.bfloat16,128,128,64,32,16,8969,16,True,False,True,True,True,True,True,16,373.5863
gfx950,torch.bfloat16,128,128,64,32,16,21730,16,True,False,True,True,True,True,True,32,495.6184
gfx950,torch.bfloat16,128,128,64,32,16,20001,3,True,False,True,True,True,True,True,32,450.1561
gfx950,torch.bfloat16,128,128,64,32,16,10003,4,True,False,True,True,True,True,True,16,393.4882
gfx950,torch.bfloat16,128,128,64,32,16,11730,15,True,False,True,True,True,True,True,16,423.9014
gfx950,torch.bfloat16,128,128,64,32,16,15241,32,True,False,True,True,True,True,True,32,468.0036
gfx950,torch.bfloat16,128,128,64,32,16,18006,32,True,False,True,True,True,True,True,32,489.4688
gfx950,torch.bfloat16,128,128,64,32,16,30004,7,True,False,True,True,True,True,True,64,535.8877
gfx950,torch.bfloat16,128,128,64,32,16,30760,32,True,False,True,True,True,True,True,64,569.6090
gfx950,torch.bfloat16,128,128,64,32,16,10006,7,True,False,True,True,True,True,True,16,365.5359
gfx950,torch.bfloat16,128,128,64,32,16,20768,32,True,False,True,True,True,True,True,32,526.3244
gfx950,torch.bfloat16,128,128,64,32,16,10029,30,True,False,True,True,True,True,True,32,447.0562
gfx950,torch.bfloat16,128,128,64,32,16,20030,32,True,False,True,True,True,True,True,32,506.9712
gfx950,torch.bfloat16,128,128,64,32,16,13518,28,True,False,True,True,True,True,True,32,462.8251
gfx950,torch.bfloat16,128,128,64,32,16,30765,64,True,False,True,True,True,True,True,64,611.7431
gfx950,torch.bfloat16,128,128,64,32,16,1040,64,True,False,True,True,True,True,True,32,127.3863
gfx950,torch.bfloat16,128,128,64,32,16,10038,39,True,False,True,True,True,True,True,32,462.5540
gfx950,torch.bfloat16,128,128,64,32,16,27296,35,True,False,True,True,True,True,True,64,573.4498
gfx950,torch.bfloat16,128,128,64,32,16,32768,41,True,False,True,True,True,True,True,32,635.7211
gfx950,torch.bfloat16,128,128,64,32,16,32768,54,True,False,True,True,True,True,True,32,661.3815
gfx950,torch.bfloat16,128,128,64,32,16,3678,64,True,False,True,True,True,True,True,32,240.3135
gfx950,torch.bfloat16,128,128,64,32,16,10044,45,True,False,True,True,True,True,True,32,474.1941
gfx950,torch.bfloat16,128,128,64,32,16,7310,40,True,False,True,True,True,True,True,32,349.9048
gfx950,torch.bfloat16,128,128,64,32,16,23700,64,True,False,True,True,True,True,True,64,594.7269
gfx950,torch.bfloat16,128,128,64,32,16,10053,54,True,False,True,True,True,True,True,32,489.2656
gfx950,torch.bfloat16,128,128,64,32,16,30047,50,True,False,True,True,True,True,True,64,630.1210
gfx950,torch.bfloat16,128,128,64,32,16,1113,64,True,False,True,True,True,True,True,64,132.3695
gfx950,torch.bfloat16,128,128,64,32,16,1085,64,True,False,True,True,True,True,True,64,129.0263
gfx950,torch.bfloat16,128,128,64,32,16,1045,64,True,False,True,True,True,True,True,32,128.5607
gfx950,torch.bfloat16,128,128,64,32,16,30042,45,True,False,True,True,True,True,True,64,630.7170
gfx950,torch.bfloat16,128,128,64,32,16,1009,64,True,False,True,True,True,True,True,32,124.4143
